承储企业,年份,级别,省份,品种名称,作物种类,储备量（万公斤）
山东中农天泰种业有限公司,2017,国家级,山东,天泰33,杂交玉米,15
山西诚信种业有限公司,2017,国家级,山西,诚信16号,杂交玉米,24
山西诚信种业有限公司,2017,国家级,山西,诚信5号,杂交玉米,8
山西诚信种业有限公司,2017,国家级,山西,MC220,杂交玉米,5
山西诚信种业有限公司,2017,国家级,山西,晋豆25号,大豆,7
山西诚信种业有限公司,2017,国家级,山西,长农40号,杂粮杂豆,7
山西潞玉种业股份有限公司,2017,国家级,山西,潞玉19,杂交玉米,10
山西潞玉种业股份有限公司,2017,国家级,山西,潞玉36,杂交玉米,58
山西潞玉种业股份有限公司,2017,国家级,山西,潞玉5号,杂交玉米,5
山西潞玉种业股份有限公司,2017,国家级,山西,晋豆25号,大豆,8
山西潞玉种业股份有限公司,2017,国家级,山西,晋谷29号,杂粮杂豆,8
陕西大地种业有限公司,2017,国家级,陕西,榆单88,杂交玉米,10
陕西大地种业有限公司,2017,国家级,陕西,榆单13,杂交玉米,5
陕西大地种业有限公司,2017,国家级,陕西,陕单609,杂交玉米,20
陕西鸿塬种业有限公司,2017,国家级,陕西,秦优7号,油菜,10
陕西鸿塬种业有限公司,2017,国家级,陕西,秦杂油19,油菜,5
陕西秦龙绿色种业有限公司,2017,国家级,陕西,改良户单4号,杂交玉米,40
陕西秦龙绿色种业有限公司,2017,国家级,陕西,秦龙11,杂交玉米,30
陕西秦龙绿色种业有限公司,2017,国家级,陕西,秦龙998,杂交玉米,20
陕西荣华农业科技有限公司,2017,国家级,陕西,秦优10号,油菜,5
陕西荣华农业科技有限公司,2017,国家级,陕西,沣油737,油菜,18
陕西荣华农业科技有限公司,2017,国家级,陕西,荣华油2号,油菜,2
陕西荣华农业科技有限公司,2017,国家级,陕西,荣华油5号,油菜,2
陕西荣华农业科技有限公司,2017,国家级,陕西,荣华油6号,油菜,3
上海崇明种子有限公司,2017,国家级,上海,秀水134,常规水稻,25
上海崇明种子有限公司,2017,国家级,上海,沪香粳106,常规水稻,10
上海崇明种子有限公司,2017,国家级,上海,花优14,杂交水稻,10
四川国豪种业股份有限公司,2017,国家级,四川,宜香725,杂交水稻,25
四川国豪种业股份有限公司,2017,国家级,四川,宜香3728,杂交水稻,5
四川国豪种业股份有限公司,2017,国家级,四川,绵香576,杂交水稻,5
